fecha_hora_,Temperatura_max,Temperatura_min,Temperatura_mean,codigo
2013-11-24,25.2,17.0,18.9227083333333,201
2013-11-25,28.1,15.9,20.50298611111114,201
2013-11-26,26.2,16.1,19.632847222222185,201
2013-11-27,27.6,16.4,20.868888888888893,201
2013-11-28,24.3,16.6,20.088680555555516,201
2013-11-29,26.9,17.6,20.37316901408447,201
2013-11-30,23.3,17.2,18.99069444444443,201
2013-12-01,25.3,16.1,19.43884642112579,201
2013-12-02,23.2,15.9,19.43895833333326,201
2013-12-03,26.0,16.2,19.671299513551048,201
2013-12-04,26.0,16.0,21.047569444444456,201
2013-12-05,27.0,18.4,21.528402777777774,201
2013-12-06,27.2,17.2,21.860624999999967,201
2013-12-07,20.0,18.5,19.35723684210523,201
2013-12-09,23.6,18.5,20.69201312910286,201
2013-12-10,26.1,17.6,21.24756944444441,201
2013-12-11,27.6,18.3,21.942426367461472,201
2013-12-12,27.8,18.5,22.308749999999904,201
2013-12-13,24.1,18.7,21.10486111111116,201
2013-12-14,28.0,18.0,22.48361111111115,201
2013-12-15,28.7,19.2,22.921169916434582,201
2013-12-16,27.2,19.1,22.10916666666668,201
2013-12-17,26.0,18.1,21.058749999999993,201
2013-12-18,23.6,17.9,19.615416666666697,201
2013-12-19,26.9,16.4,20.84527777777782,201
2013-12-20,25.3,16.8,20.86826388888882,201
2013-12-21,27.5,18.0,21.100763888888906,201
2013-12-22,25.0,18.1,20.478819444444483,201
2013-12-23,23.6,15.9,18.234652777777754,201
2013-12-24,25.5,15.9,19.238958333333308,201
2013-12-25,28.0,16.5,20.21715277777783,201
2013-12-26,25.7,17.7,20.58715277777772,201
2013-12-27,28.1,17.7,21.95777777777773,201
2013-12-28,29.3,17.9,23.11895833333331,201
2013-12-29,29.9,17.5,23.0695138888889,201
2013-12-30,27.1,19.7,22.410208333333358,201
2013-12-31,27.8,18.2,22.05138888888891,201
2014-01-01,27.2,19.0,21.9688888888889,201
2014-01-02,26.0,17.6,21.224358084663397,201
2014-01-03,24.4,18.2,21.173819444444476,201
2014-01-04,28.3,18.8,22.808479327259967,201
2014-01-05,28.1,18.5,21.323819444444425,201
2014-01-06,23.2,17.5,18.783680555555495,201
2014-01-07,27.1,16.9,20.410972222222227,201
2014-01-08,24.5,17.6,20.573216783216804,201
2014-01-09,27.7,16.9,21.051250000000056,201
2014-01-10,27.8,18.1,20.623869171885875,201
2014-01-11,27.2,17.6,20.05173611111114,201
2014-01-12,24.9,17.3,20.451151430565186,201
2014-01-13,26.9,18.9,22.039444444444456,201
2014-01-14,27.7,18.4,22.149305555555536,201
2014-01-15,27.1,18.6,22.12819444444444,201
2014-01-16,26.7,18.5,22.058680555555508,201
2014-01-17,27.3,18.3,21.781913407821204,201
2014-01-18,27.6,19.0,22.6841666666666,201
2014-01-19,26.5,18.9,22.126713286713294,201
2014-01-20,24.9,19.3,21.74951388888882,201
2014-01-21,25.8,19.0,21.752986111111046,201
2014-01-22,25.2,19.4,20.917361111111102,201
2014-01-23,27.6,18.5,22.053194444444447,201
2014-01-24,27.2,18.2,22.068055555555556,201
2014-01-25,27.5,18.1,21.788472222222232,201
2014-01-26,25.0,17.5,20.306111111111157,201
2014-01-27,27.4,15.9,21.15930555555553,201
2014-01-28,27.8,17.9,21.3041666666666,201
2014-01-29,28.0,18.8,21.97999999999998,201
2014-01-30,25.6,17.9,20.503749999999943,201
2014-01-31,26.2,16.2,21.155213435969188,201
2014-02-01,27.4,19.1,22.134930555555542,201
2014-02-02,25.8,19.0,21.229513888888896,201
2014-02-03,19.9,18.1,18.996620278329985,201
2014-02-04,27.8,20.0,23.70715025906734,201
2014-02-05,26.7,17.3,21.40402777777779,201
2014-02-06,27.4,16.8,20.85388888888894,201
2014-02-07,26.1,17.9,21.167847222222214,201
2014-02-08,25.5,18.6,21.452986111111155,201
2014-02-09,27.1,19.0,22.14833333333339,201
